id;name;kind;binary_data;binary_data_content_type;additional_information
1;Object-based Mouse SDR;International;../fake-data/blob/hipster.png;image/png;synergies Music e-services
2;Director;Checking Account AI fuchsia;../fake-data/blob/hipster.png;image/png;Incredible Soft Hat 4th generation Washington
3;Awesome Product Viaduct;FTP Berkshire;../fake-data/blob/hipster.png;image/png;applications Ridges
4;program Route redefine;Sausages one-to-one back-end;../fake-data/blob/hipster.png;image/png;communities Ergonomic
5;Intelligent Global reintermediate;Concrete;../fake-data/blob/hipster.png;image/png;B2B Jewelery Principal
6;24/365 drive firewall;bluetooth Awesome Steel Mouse synthesize;../fake-data/blob/hipster.png;image/png;EXE
7;Grocery SMS Libyan Dinar;heuristic;../fake-data/blob/hipster.png;image/png;Nebraska Program
8;infrastructure Tuna;Handmade Personal Loan Account;../fake-data/blob/hipster.png;image/png;Specialist Corporate
9;applications Track redundant;Gorgeous;../fake-data/blob/hipster.png;image/png;Berkshire Solutions Somoni
10;Yuan Renminbi Personal Loan Account Bulgaria;customized Moroccan Dirham National;../fake-data/blob/hipster.png;image/png;Money Market Account
