id;time;carbs;fat;protein;fiber;kcal
1;2021-02-03T00:55:39;21854;70081;32144;79400;84820
2;2021-02-03T13:13:25;45229;30412;39243;9062;32160
3;2021-02-03T10:24:17;56557;57413;84331;93560;79881
4;2021-02-02T22:23:33;77560;88467;70145;81097;29247
5;2021-02-03T11:01:03;57197;33967;77845;60707;53160
6;2021-02-02T22:09:17;90587;91730;78073;16741;89227
7;2021-02-03T00:19:20;18581;63783;48438;34692;3501
8;2021-02-02T15:43:34;87366;36952;68163;26072;88735
9;2021-02-03T10:22:23;456;61703;54675;80439;22100
10;2021-02-02T22:16:51;77174;69383;33076;95541;19194
