id;name;day_of_week;time;pause_time;warumup_time;preworkout_countdown_time
1;Factors foreground Nevada;TUESDAY;Route mobile innovative;12231;97370;98958
2;panel Analyst Saint Barthelemy;MONDAY;Way Dale;53;98513;10617
3;Cambridgeshire reciprocal;SATURDAY;haptic Bedfordshire;15674;23967;29791
4;solid state deposit primary;FRIDAY;methodology Clothing;77493;64884;11295
5;Jordanian Dinar deposit;FRIDAY;redefine invoice;3527;31467;17500
6;Beauty interface;THURSDAY;deposit;39653;75381;99131
7;Borders;THURSDAY;Colombia hack Alabama;7309;224;35792
8;Configurable;THURSDAY;intangible;9476;78603;34543
9;bypassing Programmable Progressive;SUNDAY;seamless teal Soft;37241;87820;314
10;cyan holistic Borders;TUESDAY;override Licensed Soft Soap virtual;78465;78413;95055
